기업명,상태,기업소개,증권구분,모집가액,청약금액,발행금액,발행일,업종,청약률,청약자수,중개업자,임직원수,자산총계,부채총계,자본총계,자본금,매출액,영업이익,당기순이익
제이알디웍스,종료,㈜제이알디웍스는 ICT기술과 돌봄 홈서비스가 접목된 스마트 홈조리원 서비스 똑똑 및 플랫폼을 운영합니다. ,주식,"30,000,000",0,0,2023-01-06,IT·영상,0%,0,오마이컴퍼니,3,"667,403,404","663,320,929","4,082,475","56,425,000","500,330,023","-169,880,133","-95,110,634"
알에프디바이스,성공,이동통신 소재부품에서 시스템까지 개발 / 생산하는 전문기업,주식,"300,000,000","244,000,000",0,2023-01-05,제조,81%,57,아시아크라우드펀딩,10,"5,189,335,052","3,386,857,967","1,802,477,085","500,000,000","1,828,302,051","19,365,938","188,108,741"
케이에이치트레이더스,성공,"케이에이치트레이더스는 보유한 해외 네트워크를 기반으로 태그호이어, 오메가 등 명품시계를 병행수입, 판매하는 회사입니다.",채권,"14,637,000","20,090,000",0,2022-12-28,도소매,137%,5,크라우디,6,"45,669,672","766,360","44,903,312","50,000,000",,"-5,107,400","-5,096,688"
코지샵,성공,당사는 커튼 및 블라인드를 개발하여 제조/판매하는 회사입니다. ,채권,"180,015,000","195,910,000","180,015,000",2022-12-27,도소매,109%,56,펀딩포유,15,"3,608,237,354","2,522,518,695","1,085,718,659","763,500,000","3,063,424,142","174,189,912","97,122,462"
힘난다,성공,"힘난다'는 맛있는 음식을 통해 사람들에게 건강한 에너지를 제공하는, 푸드테크 프랜차이즈 기업입니다. 현재 프리미엄 버거 프랜차이즈인 '힘난다버거'를 운영하고 있으며, 유산균 발효기술이라는 푸드테크 기술을 햄버거 패티와 번에 도입하여 '맛있고 건강한 햄버거'라는 새로운 버거의 트렌드를 시장에 알렸습니다. ",채권,"50,000,000","50,000,000","50,000,000",2022-12-23,제조,100%,22,크라우디,10,"3,799,285,037","1,763,740,760","2,035,544,277","640,089,000","4,060,548,239","-276,663,987","-86,153,117"
네오에스티지,성공,"다양한 공간에 꼭 필요한 공기살균청정 솔루션을 제공하고 있으며, 공기살균청정 브랜드‘네오큐어(NeoCure)’를 생산, 판매하고 있는 기업입니다.",채권,"130,000,000","139,320,000","130,000,000",2022-12-16,제조,107%,59,펀딩포유,6,"1,301,292,925","908,046,470","393,246,455","1,400,000,000","176,245,764","-246,809,162","-234,645,435"
어니스트초이스,성공,㈜어니스트초이스는 육가공 산업 및 한우 전문분야의 노하우와 R&D 혁신기술을 기반으로 부가가치를 창조하는 한국형 팩커 기업입니다.,주식,"500,000,000","533,100,000","500,000,000",2022-12-16,제조,107%,76,펀더풀,26,"4,959,804,595","4,367,472,535","592,332,060","500,000,000","8,452,076,942","-556,043,240","-503,733,636"
온공투영화유령,종료,영화 <유령> 프로젝트 투자 모집을 위한 특수목적 법인입니다.,채권,"50,000,000","8,700,000",0,2022-12-15,IT·영상,17%,14,펀더풀,1,,,,,,,
팀스토리,성공,"(주)팀스토리는 국내,외 유명 기관과 기업에서 찾는 혁신적이고,미래지향적 메타버스 플랫폼 서비스를 제공하는 메타버스 플랫폼 선두 주자입니다",주식,"60,000,000","89,580,000","60,000,000",2022-12-20,IT·영상,149%,14,아시아크라우드펀딩,11,"1,036,662,209","25,843,930","1,010,818,279","1,000,000,000","88,415,000","-107,681","10,818,279"
도시모험가,성공,국내 캠핑 정보 플랫폼 ,채권,"70,000,000","59,000,000","59,000,000",2022-12-12,IT·영상,84%,24,크라우디,4,"36,648,195","5,542,727","31,105,468","10,350,000",,"-47,105,016","-47,926,532"
샐리쿡,성공,"샐리쿡은 암식이상담연구소와 푸드테크연구소의 집중연구로 연구, 논문, 특허, 인증을 받은 근거 있는 지식 집약 식품을 만듭니다. 병원 식사 컨설팅과 영양 상담으로 축적된 영양지식 노하우를 담아 한국형 지중해 간편식을 직접 제조하여 맛잇는 건강함을 담고 있습니다. ",주식,"50,017,500","65,521,500","50,017,500",2022-12-13,제조,131%,32,크라우디,8,"631,176,565","486,923,243","144,253,322","52,631,000","51,476,791","-79,646,561","163,042,012"
프라우들리,성공,프라우들리는 한국 전통의 공간이 한옥을 세련된 공간으로 바꾸고 있습니다. 전통적인 숙박 산업에 혁신을 추구합니다.,채권,"150,000,000","130,000,000","130,000,000",2022-12-08,기타,87%,62,펀더풀,11,"1,220,905,220","540,619,138","680,286,082","6,014,800","846,304,268","-127,107,937","38,684,873"
엠제이부티끄,성공,"기업컨설팅사업을 바탕으로 엠제이부티끄(주)를 설립하여 뷰티샵브랜드,코스메틱 제조 및 유통, 커피 프랜차이즈, 대형 외식 프랜차이즈, 일식 다이닝 브랜드를 런칭하며 브랜드 마케팅과 프랜차이즈 사업을 진행하고 있습니다.",주식,"50,000,000","151,750,000","50,000,000",2022-12-14,도소매,304%,32,아시아크라우드펀딩,15,"4,489,519,740","538,092,874","3,951,426,866","3,500,000,000","2,339,676,292","-88,895,155","38,788,089"
콘랩컴퍼니,종료,"카카오프렌즈, 무민 IP 라이선스 계약을 통한 테마파크 구축, 콘텐츠 제작 등 캐릭터 IP 사업, NH농협카드의 라이언 치즈와 어피치 스윗 체크카드, IBK기업은행 무민 체크 및 신용카드의 기획 및 마케팅을 담당하는 금융 제휴사업, 오모리 집밥을 런칭한 식품 브랜딩 사업을 영위하고 있습니다.",주식,"100,085,000","10,360,000",0,2022-12-08,예술·여가,10%,5,크라우디,21,"1,719,135,334","2,000,658,137","-281,522,793","362,385,000","744,271,842","-1,693,802,782","-1,585,668,220"
온공투영화압구정,성공,영화 <압꾸정>의 프로젝트 투자를 위해 설립된 특수 목적 법인입니다.,채권,"200,000,000","169,900,000","169,900,000",2022-12-05,IT·영상,85%,233,펀더풀,1,,,,,,,
밀알,성공,"밀알은 고용노동부에서 인증된 사회적기업으로서 전동침대(의료용 포함), 생활가구의 제조 및 판매하는 기업입니다. ",채권,"30,000,000","32,000,000","30,000,000",2022-12-05,제조,107%,7,오마이컴퍼니,17,"2,317,772,461","2,184,948,362","132,824,099","100,000,000","860,394,686","72,137,386","26,485,510"
액티부키,성공,액티부키는 기존의 아날로그적인 농촌 여행을 디지털화함으로써 새로운 농촌 여행 트렌드를 만들어가는 스타트업입니다.,주식,"50,042,000","100,084,000","50,042,000",2022-12-03,기타,200%,17,크라우디,9,"277,639,443","138,184,847","139,454,596","25,865,000","506,630,909","-29,455,708","10,331,222"
올마이투어,성공,"올마이투어는 여행업계 전문가들이 설립한 스타트업으로, 여행방법의 혁신을 통해 기존 산업의 문제를 해결하며 오늘보다 더 나은 여행을 만들기 위해 노력하고 있습니다.",주식,"120,384,000","128,304,000","120,384,000",2022-12-01,IT·영상,107%,65,크라우디,19,"1,192,355,915","221,021,852","971,334,063","189,000,000","4,675,651,095","223,139,960","255,744,641"
스프링클라우드,성공,"인공지능기반 자율주행 모빌리티 서비스와 데이터 분석 서비스를 제공하는 스타트업으로, 국내 최초로 자율주행 셔틀을 서비스 시작하였습니다.",채권,"400,026,000","450,714,000","400,026,000",2022-11-29,IT·영상,113%,155,펀딩포유,64,"35,050,737,870","26,213,347,880","8,837,389,990","677,388,000","1,648,052,083","-3,350,338,775","-4,014,780,171"
브릿지벤처스,성공,브릿지벤처스는 매 순간 지금보다 더 깨끗한 에너지를 만들고 제공하여 사회에 공헌하는 것을 사명으로 하는 기업입니다. 초기 사업매칭부터 진행관리까지 최종 소비자에게 전달되는 전과정에서 더 깨끗하고 저렴한 에너지 사업을 하려고 노력합니다. 그것이 결국 우리 사회와 후손을 위한 길이라 믿습니다.,주식,"550,000,000","510,000,000","510,000,000",2022-11-30,IT·영상,93%,2,엑스퀘어,1,"649,158,662","118,341,527","530,817,135","199,200","224,680,149","34,604,014","92,234,048"
하이어플레이스,성공,"㈜하이어플레이스는 드론/VR 영상을 통한 캠핑장 현장 정보제공과 캠퍼들을 위한 캠핑장 검색, 캠핑장 예약 시스템, 캠핑장 운영주들을 위한 예약관리시스템을 제공하는 “리얼그라운드” 플랫폼을 구축 운영하고 있습니다.",주식,"20,000,000","25,000,000","20,000,000",2022-11-28,도소매,125%,5,IBK투자증권,9,,,,,,,
케어슨,성공,방사선 저감과 차폐에 관한 연구와 제품 개발,채권,"149,000,000","153,380,000","149,000,000",2022-11-25,제조,103%,68,펀딩포유,6,"1,062,325,150","769,999,201","292,355,949","309,680,000","673,016,683","65,967,097","40,275,322"
온공투영화데시벨,종료,영화 <데시벨>의 프로젝트 투자를 위해 설립된 특수 목적 법인입니다.,채권,"100,000,000","41,400,000",0,2022-11-23,IT·영상,41%,49,펀더풀,1,"103,740,753","105,500,000","-1,759,247","5,000,000",,"6,760,240","6,759,247"
미래오성모빌리티,성공,"(주)미래오성모빌리티는 중화권을 대상으로 차량호출,스마트주차,전기차 충전등 통합 모빌리티 서비스를 제공하는 혁신형 모빌리티플랫폼 사업자입니다 ",주식,"54,000,000","126,099,000","54,000,000",2022-11-24,IT·영상,234%,28,아시아크라우드펀딩,10,"2,705,605,394","1,165,831,963","1,539,773,431","2,000,000,000","255,678,002","39,488,545","41,682,206"
선트리즈,성공,"선트리즈는 햇살처럼 반짝이는 감각적인 기획과, 창조적인 활동을 가속화하는 트리즈 씽킹을 기반으로, 4차 산업혁명 시대의 교육 현장 니즈에 부응하는 가치있는 상품들을 개발,유통하고 21세기 인재 양성에 꼭 필요한 창의융합 IT 교육상품군들을 지속적으로 연구,개발하는 컨텐츠 기반 교육전문 회사입니다",주식,"50,000,000","110,000,000","50,000,000",2022-11-23,도소매,220%,21,아시아크라우드펀딩,4,"281,949,632","182,453,620","99,496,012","50,000,000","200,152,405","41,766,113","40,902,187"
벨락,성공,"㈜벨락은 60년 전통 스테인리스 주방용품 전문 제조기업인 한일에스티에스로부터 분사된 기업으로, 그 기술력을 바탕으로 우수한 제품 라인업을 선보이며 국내 캠퍼들에게 사랑받고 있는 브랜드입니다. ",주식,"105,000,000","99,050,000","99,050,000",2022-11-19,제조,94%,46,크라우디,8,"605,375,618","305,942,261","299,433,357","80,000,000","2,904,134,550","237,731,258","217,199,723"
